編號,語法點,例句
001-01,| 是 | sī | 即「是」。否定用「毋是」。 |,"['這是真危險的代誌。', '按呢一个人的價值是啥物？', '我攏是班裡的第一名。', '這應該是老師的責任。', '今年是二空一九年']"
002-01,| 是……--的 | sī...+--ê | 強調「是……的」中間的成分。 |,"['口味是一粒一的。', '相信這並毋是逐家所希望欲愛的。', '溫室效應是對心室效應來的。', '心肝頭實在是足凝的。', '我看著這心肝底是足歡喜的。']"
003-01,| ……的…… | ...ê... | 表示所有格、修飾語，「的」後面的成分可以省略。 |,"['一間足大間的五金行', '別人免數想，台灣是咱的。', '伊的英語名是啥物？', '彼幾日，阿爸的心嘛真沉重，', '我的車斡來踅去，', '一台阮爸爸咧用，一台阮哥哥的，']"
004-01,| ……--的 | ...--ê | 置於名詞、形容詞、動詞之後，省略其後的名詞，指稱具備該特徵的名詞。 |,"['阿貝恁爸是咧做啥物的？阮爸是做木的啦', '較衰的煞去著著天然痘。', '閹豬的當做掠龍的。', '猶閣有一點，你上好乎去學煮食的。', '先的，啊這欲按怎治療？', '阿爸畫的到底是啥物？']"
005-01,| 用+[動詞]+--的 | iōng+[tōng-sû]+--ê | 藉著……方式。 |,"['用哭的毋是辦法，', '仝款切予一塊一塊抨落鼎底用煠的，', '無相通看，用問的，', '差不多用爬的照原路控轉來公路頂，', '閣免本，用想的就會有。']"
006-01,| 阮1 | goán/gún(1) | 第一人稱複數代名詞，不包含聽話者。 |,"['阮一陣人綴老......', '老師有問阮上佮意啥物動物喔！', '阮一陣人綴老師的跤步，聽精彩的導覽，', '伊閣予阮一人一本印尼冊，叫阮有閒著愛加減仔背語詞。', '阮一陣愛好台語的有志，閣是開喙合喙攏台語，']"
006-02,| 阮2 | goán/gún(2) | 第一人稱單、複數所有格，不包含聽話者，且限於關係、團體。 |,"['租金阮公司補助一萬五千提高到兩萬。', '叫出來的鳥仔聲袂輸阮學校合唱團，有夠好聽；', '阮阿母是前鎮加工區的第一批的女工。', '阮兜佇紐約。', '阮厝有三隻狗仔，兩烏一白，兩母一公，', '會記得阮老師捌講過一个真實的故事，']"
006-03,| 阮3 | goán/gún(3) | 第一人稱單數代名詞。 |,"['既然咱是「忘年之交」，阮會尊重你的厚性地。', '雄雄一陣西北雨，將阮沃甲澹糊糊', '阿母牽阮的手，', '阮是聽甲面仔紅紅，頭犁犁，實在感覺真歹勢。']"
006-04,| 咱1 | lán(1) | 第一人稱複數代名詞，包含聽話者。 |,"['咱的古蹟就是咱的歷史', '你出題，咱閣來拚一擺。', '台灣是美麗的寶島，是咱上愛的、永遠的家鄉！', '咱來激頭殼想看覓', '咱來去對面彼間店仔買。', '咱轉來去，好無？']"
006-05,| 咱2 | lán(2) | 第一人稱複數所有格，包含聽話者，且限於關係、團體。 |,"['是按怎是毋？彼敢咱兜的鐵門聲？', '咱身軀邊有無人顧的老大人', '你敢知影咱學校有種啥物植物？', '𪜶欲來看咱學校。']"
006-06,| 咱3 | lán(3) | 第二人稱單、複數代名詞，常用於詢問。 |,"['明德仔問：「咱遮敢是欲倩顧問？」', '請問咱貴姓？', '請問咱攏總有偌濟人？']"
