漢字,羅馬字
一,chi̍t
一,it
一刀兩斷,it-to-lióng-toān
一下,chi̍t-ē
一月日,chi̍t goe̍h-ji̍t/chi̍t ge̍h-li̍t
一日到暗,chi̍t-ji̍t-kàu-àm/chi̍t-li̍t-kàu-àm
一世人,chi̍t-sì-lâng
一半,chi̍t-pòaⁿ
一半个仔,chi̍t-pòaⁿ-ê-á
一半日仔,chi̍t-pòaⁿ-ji̍t-á/chi̍t-pòaⁿ-li̍t-á
一四界,chi̍t-sì-kè/chi̍t-sì-kòe
一旦,it-tàn
一生,it-seng
一目𥍉仔,chi̍t-ba̍k-nih-á
一甲子,chi̍t kah-chí
一百空一,chi̍t-pah khòng-it
一來,it--lâi
一定,it-tēng
一直,it-ti̍t
一律,it-lu̍t
一致,it-tì
一面,chi̍t-bīn
一垺屎,chi̍t-pû-sái
一屑仔,chi̍t-sut-á
一家伙仔,chi̍t-ke-hóe-á/chi̍t-ke-hé-á
一般,it-poaⁿ
一粒一,it-lia̍p-it
一睏仔,chi̍t-khùn-á
一概,it-khài
一路,chi̍t-lō͘
一寡,--chi̍t-kóa
一寡仔,chi̍t-kóa-á
一對時,chi̍t tùi-sî
一霎仔久,chi̍t-tiap-á-kú
一點仔,chi̍t-tiám-á
一礐屎,chi̍t-ha̍k-sái
一觸久仔,chi̍t-tak-kú-á
乙,it
丁,teng
七,chhit
九,káu
九,kiú
了,liáu
二,jī/lī
人,jîn/lîn
人,lâng
入,ji̍p/li̍p
八,pat
八,peh/poeh
刀,to
刁,tiau
力,la̍t
力,le̍k
十,cha̍p
十,si̍p
卜,poh
卜,pok
又,iū
十一哥,cha̍p-it-ko
了了,liáu-liáu
了了,--liáu-liáu
人人,lâng-lâng
十二分,cha̍p-jī-hun/cha̍p-lī-hun
十二生相,cha̍p-jī seⁿ-siùⁿ/cha̍p-lī siⁿ-siùⁿ
十二指腸,si̍p-jī-chí-tn̂g/si̍p-lī-chí-tn̂g
二九暝,Jī-káu-mê/Lī-káu-mî
十八骰仔,si̍p-pat-tâu-á
十八變,cha̍p-peh-piàn/cha̍p-poeh-piàn
七夕,chhit-sia̍h
了工,liáu-kang
人工,lâng-kang
人才,lâng-châi
入土,ji̍p-thó͘/li̍p-thó͘
刁工,thiau-kang
人中,jîn-tiong/lîn-tiong
七孔,chhit-khóng
九孔,káu-kháng
二手,jī-chhiú/lī-chhiú
入木,ji̍p-bo̍k/li̍p-bo̍k
八仙,pat-sian
刀仔,to-á
八仙桌,pat-sian-toh
八仙綵,pat-sian-chhái
刁古董,tiau-kó͘-tóng
了本,liáu-pún
人民,jîn-bîn/lîn-bîn
人生,jîn-seng/lîn-seng
刀石,to-chio̍h
十全,cha̍p-chn̂g
十全,si̍p-choân
八字,peh-jī/poeh-lī
七字仔,chhit-jī-á/chhit-lī-á
十字架,si̍p-jī-kè/si̍p-lī-kè
八字跤,pat-jī-kha/pat-lī-kha
十字路,si̍p-jī-lō͘/si̍p-lī-lō͘
七早八早,chhit-chá-peh-chá/chhit-chá-poeh-chá
入耳,ji̍p-ní/li̍p-ní
刀肉,to-bah
七老八老,chhit-lāu-peh-lāu/chhit-lāu-poeh-lāu
了尾仔囝,liáu-bóe-á-kiáⁿ/liáu-bé-á-kiáⁿ
二步七仔,--jī-pō͘-chhit-á/--lī-pō͘-chhit-á
八角,peh-kak/poeh-kak
十足,cha̍p-chiok
九芎仔,kiú-kiong-á
人事,jîn-sū/lîn-sū
八卦,pat-kòa
卜卦,pok-kòa
二房,jī-pâng/lī-pâng
人物,jîn-bu̍t/lîn-bu̍t
十花五色,cha̍p-hoe-gō͘-sek
入門,ji̍p-mn̂g/li̍p-mn̂g
人客,lâng-kheh
了後,liáu-āu
